treatment,flake,fuelwood,average curvature,standard deviation,measurement scale,nodule number,nodule sub number,flake number
sand_2,ON_35_28,Olea exasperata,106_0728296,31_72103758, 10 µm,35,,28
sand_2,ON_35_28,Olea exasperata,84_93096161,24_28239331, 20 µm,35,,28
sand_2,ON_35_28,Olea exasperata,44_20765966,23_86807314, 70 µm,35,,28
sand_2,ON_35_29,Olea exasperata,81_00480486,15_06529606, 10 µm,35,,29
sand_2,ON_35_29,Olea exasperata,61_42154834,11_95041262, 20 µm,35,,29
sand_2,ON_35_29,Olea exasperata,25_12387043,5_076708936, 70 µm,35,,29
sand_2,ON_35_31,Olea exasperata,39_14062733,30_41958538, 10 µm,35,,31
sand_2,ON_35_31,Olea exasperata,33_6750165,20_42489448, 20 µm,35,,31
sand_2,ON_35_31,Olea exasperata,21_66653867,9_325496432, 70 µm,35,,31
sand_2,ON_35_33,Olea exasperata,26_97098301,23_17437881, 10 µm,35,,33
sand_2,ON_35_33,Olea exasperata,20_46757803,17_58768378, 20 µm,35,,33
sand_2,ON_35_33,Olea exasperata,19_72516516,15_00069061, 70 µm,35,,33
sand_2,ON_35_6,Olea exasperata,91_0723653,33_86254912, 10 µm,35,,6
sand_2,ON_35_6,Olea exasperata,67_81219263,34_69315464, 20 µm,35,,6
sand_2,ON_35_6,Olea exasperata,42_81780898,38_89362105, 70 µm,35,,6
embers_1,ON_14_A_15,Protea obtusifolia,89_87437776,18_84568329, 10 µm,14,A,15
embers_1,ON_14_A_15,Protea obtusifolia,72_47562112,16_47990411, 20 µm,14,A,15
embers_1,ON_14_A_15,Protea obtusifolia,36_40811394,10_5257619, 70 µm,14,A,15
embers_1,ON_14_A_27,Protea obtusifolia,97_53687231,32_73718334, 10 µm,14,A,27
embers_1,ON_14_A_27,Protea obtusifolia,81_38928335,37_06360908, 20 µm,14,A,27
embers_1,ON_14_A_27,Protea obtusifolia,34_4129266,36_38719896, 70 µm,14,A,27
embers_1,ON_14_A_4,Protea obtusifolia,108_2712987,53_41231983, 10 µm,14,A,4
embers_1,ON_14_A_4,Protea obtusifolia,88_97273644,53_22769799, 20 µm,14,A,4
embers_1,ON_14_A_4,Protea obtusifolia,49_96155675,56_24099114, 70 µm,14,A,4
embers_1,ON_54_A_15,Protea susannae,86_61449671,31_87454837, 10 µm,54,A,15
embers_1,ON_54_A_15,Protea susannae,65_96989446,24_27695037, 20 µm,54,A,15
embers_1,ON_54_A_15,Protea susannae,40_904111,24_81598806, 70 µm,54,A,15
embers_1,ON_54_A_31,Protea susannae,95_78246589,44_05151083, 10 µm,54,A,31
embers_1,ON_54_A_31,Protea susannae,66_63277192,17_52702176, 20 µm,54,A,31
embers_1,ON_54_A_31,Protea susannae,32_84338943,7_782608473, 70 µm,54,A,31
sand_1,ON_1_1,Pterocelastrus tricuspidatus,79_04723476,43_18002254, 10 µm,1,,1
sand_1,ON_1_1,Pterocelastrus tricuspidatus,53_96641386,27_6899805, 20 µm,1,,1
sand_1,ON_1_1,Pterocelastrus tricuspidatus,35_8640497,28_62239964, 70 µm,1,,1
sand_1,ON_1_15A,Pterocelastrus tricuspidatus,32_54692741,22_26197153, 10 µm,1,A,15A
sand_1,ON_1_15A,Pterocelastrus tricuspidatus,25_85408456,20_99592596, 20 µm,1,A,15A
sand_1,ON_1_15A,Pterocelastrus tricuspidatus,17_89657443,17_74627791, 70 µm,1,A,15A
sand_1,ON_1_21,Pterocelastrus tricuspidatus,70_80647092,30_4735012, 10 µm,1,,21
sand_1,ON_1_21,Pterocelastrus tricuspidatus,55_31779809,24_35041854, 20 µm,1,,21
sand_1,ON_1_21,Pterocelastrus tricuspidatus,31_54161453,28_18305592, 70 µm,1,,21
sand_1,ON_1_6A,Pterocelastrus tricuspidatus,52_97139197,31_25778038, 10 µm,1,A,6A
sand_1,ON_1_6A,Pterocelastrus tricuspidatus,41_78958205,22_42253895, 20 µm,1,A,6A
sand_1,ON_1_6A,Pterocelastrus tricuspidatus,29_05769435,15_03184853, 70 µm,1,A,6A
sand_1,ON_1_7A,Pterocelastrus tricuspidatus,65_83506815,34_1931183, 10 µm,1,A,7A
sand_1,ON_1_7A,Pterocelastrus tricuspidatus,52_84810733,32_71809063, 20 µm,1,A,7A
sand_1,ON_1_7A,Pterocelastrus tricuspidatus,29_29597098,33_25565043, 70 µm,1,A,7A
sand_1,ON_1_7B,Pterocelastrus tricuspidatus,55_57084886,25_23895242, 10 µm,1,B,7B
sand_1,ON_1_7B,Pterocelastrus tricuspidatus,39_4665,17_56797198, 20 µm,1,B,7B
sand_1,ON_1_7B,Pterocelastrus tricuspidatus,19_79128012,9_978111198, 70 µm,1,B,7B
sand_1,ON_1_8A,Pterocelastrus tricuspidatus,51_69005023,35_23492375, 10 µm,1,A,8A
