method,scale,distance,treatment,flake,nodule number,nodule sub number,flake number,average curvature,standard deviation,sheet
old method,10um,0.1,Unheated,O.N.87_A_14,87,A,14,21.64329282,20.1930581,old-0.1-10
old method,10um,0.1,Unheated,O.N.87_A_17,87,A,17,15.6877157,17.83680979,old-0.1-10
old method,10um,0.1,Unheated,O.N.87_A_19,87,A,19,32.32067626,30.71621361,old-0.1-10
old method,10um,0.1,Unheated,O.N.87_A_22,87,A,22,29.6932416,30.41358123,old-0.1-10
old method,10um,0.1,Unheated,O.N.87_A_29,87,A,29,10.4921017,9.664216578,old-0.1-10
old method,10um,0.1,Unheated,O.N.87_A_4,87,A,4,24.399971,35.26870715,old-0.1-10
old method,10um,0.1,Unheated,O.N.87_A_5,87,A,5,15.66637441,19.70190614,old-0.1-10
old method,10um,0.1,Unheated,O.N.87_A_9,87,A,9,8.753688711,13.51590798,old-0.1-10
old method,10um,0.1,Unheated,O.N.87_B_13,87,B,13,16.13869154,26.45713603,old-0.1-10
old method,10um,0.1,Unheated,O.N.87_B_19,87,B,19,18.09333167,24.55908555,old-0.1-10
old method,10um,0.1,Unheated,O.N.87_B_23,87,B,23,18.3086517,19.38358294,old-0.1-10
old method,10um,0.1,Unheated,O.N.87_B_24,87,B,24,13.856249,12.99127852,old-0.1-10
old method,10um,0.1,Unheated,O.N.87_B_28,87,B,28,25.87037676,28.68195328,old-0.1-10
old method,10um,0.1,Unheated,O.N.87_B_2,87,B,2,24.74809991,44.36178569,old-0.1-10
old method,10um,0.1,Unheated,O.N.87_B_31,87,B,31,23.3700861,32.11255548,old-0.1-10
old method,10um,0.1,Unheated,O.N.87_B_6,87,B,6,19.45069334,17.5465877,old-0.1-10
old method,10um,0.1,Unheated,O.N.87_B_7,87,B,7,12.96842901,13.71179121,old-0.1-10
old method,10um,0.1,F1S,O_N_37_2,37,,2,14.54649828,19.31063404,old-0.1-10
old method,10um,0.1,F1S,O_N_37_3A,37,,3A,5.711268516,11.61732257,old-0.1-10
old method,10um,0.1,F1S,O_N_37_4A,37,,4A,21.78812844,31.13876267,old-0.1-10
old method,10um,0.1,F1S,O_N_37_8A,37,,8A,16.52886664,22.08174907,old-0.1-10
old method,10um,0.1,F1S,O_N_37_8B,37,,8B,30.0673887,36.55670559,old-0.1-10
old method,10um,0.1,F1S,O_N_37_12A,37,,12A,21.70096696,33.62214121,old-0.1-10
old method,10um,0.1,F1S,O_N_37_17A,37,,17A,20.25658761,26.33264201,old-0.1-10
old method,10um,0.1,F1S,O_N_37_21,37,,21,27.97022828,48.53570466,old-0.1-10
old method,10um,0.1,F1S,O_N_37_30,37,,30,14.20799782,29.59571448,old-0.1-10
old method,10um,0.1,F1S,O_N_37_45,37,,45,12.17081173,23.39155789,old-0.1-10
old method,10um,0.1,F1S,O_N_1_1,1,,1,8.352514047,9.239885597,old-0.1-10
old method,10um,0.1,F1S,O_N_1_6A,1,,6A,16.5227231,18.7892586,old-0.1-10
old method,10um,0.1,F1S,O_N_1_7A,1,,7A,22.33410943,37.69731484,old-0.1-10
old method,10um,0.1,F1S,O_N_1_7B,1,,7B,22.56923475,35.20012528,old-0.1-10
old method,10um,0.1,F1S,O_N_1_8A,1,,8A,18.20439283,27.58669569,old-0.1-10
old method,10um,0.1,F1S,O_N_1_15A,1,,15A,12.668121,11.57190099,old-0.1-10
old method,10um,0.1,F1S,O_N_1_21,1,,21,21.19776687,17.80548327,old-0.1-10
old method,10um,0.1,F2S,O_N_31_3A,31,,3A,26.99959344,52.19302864,old-0.1-10
old method,10um,0.1,F2S,O_N_31_5A,31,,5A,13.92682355,19.82359099,old-0.1-10
old method,10um,0.1,F2S,O_N_31_8,31,,8,19.36787811,38.95016361,old-0.1-10
old method,10um,0.1,F2S,O_N_31_12A,31,,12A,19.5605735,39.51323794,old-0.1-10
old method,10um,0.1,F2S,O_N_31_12B,31,,12B,26.35983524,46.58417451,old-0.1-10
old method,10um,0.1,F2S,O_N_31_16,31,,16,36.16449865,63.44294093,old-0.1-10
old method,10um,0.1,F2S,O_N_31_26,31,,26,18.37778,23.21966793,old-0.1-10
old method,10um,0.1,F2S,O_N_31_28,31,,28,12.55137563,16.73363363,old-0.1-10
old method,10um,0.1,F2S,O_N_31_32,31,,32,25.16619728,45.90233795,old-0.1-10
old method,10um,0.1,F2S,O_N_31_39,31,,39,19.87951112,23.37487603,old-0.1-10
old method,10um,0.1,F2S,O_N_31_47,31,,47,36.92562188,48.9340253,old-0.1-10
old method,10um,0.1,F2S,O_N_31_50,31,,50,32.25110589,40.31094025,old-0.1-10
old method,10um,0.1,F2S,O_N_35_6,35,,6,18.10806669,32.9094658,old-0.1-10
old method,10um,0.1,F2S,O_N_35_28,35,,28,18.06892327,31.60378978,old-0.1-10
old method,10um,0.1,F2S,O_N_35_29,35,,29,17.05788646,36.22264326,old-0.1-10
old method,10um,0.1,F2S,O_N_35_31,35,,31,17.4602988,18.66138444,old-0.1-10
old method,10um,0.1,F2S,O_N_35_33,35,,33,16.16864254,22.88510589,old-0.1-10
old method,10um,0.1,F1F,O_N_38_2,38,,2,16.14230668,29.93928952,old-0.1-10
old method,10um,0.1,F1F,O_N_38_3,38,,3,15.41838495,31.44322005,old-0.1-10
old method,10um,0.1,F1F,O_N_38_9,38,,9,21.37648938,33.38776297,old-0.1-10
old method,10um,0.1,F1F,O_N_38_10,38,,10,11.15240164,19.57838798,old-0.1-10
old method,10um,0.1,F1F,O_N_38_13,38,,13,18.42129912,30.51370802,old-0.1-10
old method,10um,0.1,F1F,O_N_38_18,38,,18,24.51320931,28.78318774,old-0.1-10
old method,10um,0.1,F1F,O_N_38_20,38,,20,15.49976619,27.03142835,old-0.1-10
old method,10um,0.1,F1F,O_N_38_22A,38,,22A,16.04263387,28.12013386,old-0.1-10
old method,10um,0.1,F1F,O_N_38_25,38,,25,17.44710794,27.24181406,old-0.1-10
old method,10um,0.1,F1F,O_N_54A_15,54,A,15,51.07153964,55.42654135,old-0.1-10
old method,10um,0.1,F1F,O_N_2_11B,2,,11B,18.40111813,26.36501431,old-0.1-10
old method,10um,0.1,F1F,O_N_2_11A,2,,11A,18.91616291,35.12064698,old-0.1-10
old method,10um,0.1,F1F,O_N_2_19,2,,19,14.94303926,26.55871649,old-0.1-10
old method,10um,0.1,F1F,O_N_14A_4,14,A,4,14.8770887,25.75115153,old-0.1-10
old method,10um,0.1,F1F,O_N_14A_15,14,A,15,19.94314439,38.28154868,old-0.1-10
old method,10um,0.1,F1F,O_N_54A_31,54,A,31,15.68478963,24.75894751,old-0.1-10
old method,10um,0.1,F1F,O_N_14A_27,14,A,27,20.4714743,32.53266106,old-0.1-10
