method,scale,distance,treatment,heating_condition,flake,nodule_number,nodule_sub_number,flake_number,average_curvature,standard_deviation,sheet,fuelwood,wood_density,fuelwood_key,n_source_rows
old method,10um,0.1,Unheated,unheated,O.N.87_A_14,87,A,14,21.6432928229619,20.1930581,old-0.1-10,none,NA,none,153
old method,10um,0.1,Unheated,unheated,O.N.87_A_17,87,A,17,15.6877157016195,17.83680979,old-0.1-10,none,NA,none,153
old method,10um,0.1,Unheated,unheated,O.N.87_A_19,87,A,19,32.3206762629654,30.71621361,old-0.1-10,none,NA,none,153
old method,10um,0.1,Unheated,unheated,O.N.87_A_22,87,A,22,29.6932415996678,30.41358123,old-0.1-10,none,NA,none,153
old method,10um,0.1,Unheated,unheated,O.N.87_A_29,87,A,29,10.4921017006797,9.664216578,old-0.1-10,none,NA,none,153
old method,10um,0.1,Unheated,unheated,O.N.87_A_4,87,A,4,24.3999710029505,35.26870715,old-0.1-10,none,NA,none,153
old method,10um,0.1,Unheated,unheated,O.N.87_A_5,87,A,5,15.6663744132505,19.70190614,old-0.1-10,none,NA,none,153
old method,10um,0.1,Unheated,unheated,O.N.87_A_9,87,A,9,8.75368871136577,13.51590798,old-0.1-10,none,NA,none,153
old method,10um,0.1,Unheated,unheated,O.N.87_B_13,87,B,13,16.1386915353964,26.45713603,old-0.1-10,none,NA,none,153
old method,10um,0.1,Unheated,unheated,O.N.87_B_19,87,B,19,18.0933316669607,24.55908555,old-0.1-10,none,NA,none,153
old method,10um,0.1,Unheated,unheated,O.N.87_B_23,87,B,23,18.308651695953095,19.38358294,old-0.1-10,none,NA,none,153
old method,10um,0.1,Unheated,unheated,O.N.87_B_24,87,B,24,13.8562489972862,12.99127852,old-0.1-10,none,NA,none,153
old method,10um,0.1,Unheated,unheated,O.N.87_B_28,87,B,28,25.870376764080305,28.68195328,old-0.1-10,none,NA,none,153
old method,10um,0.1,Unheated,unheated,O.N.87_B_2,87,B,2,24.7480999145633,44.36178569,old-0.1-10,none,NA,none,153
old method,10um,0.1,Unheated,unheated,O.N.87_B_31,87,B,31,23.3700860964645,32.11255548,old-0.1-10,none,NA,none,153
old method,10um,0.1,Unheated,unheated,O.N.87_B_6,87,B,6,19.450693337658695,17.5465877,old-0.1-10,none,NA,none,153
old method,10um,0.1,Unheated,unheated,O.N.87_B_7,87,B,7,12.9684290084026,13.71179121,old-0.1-10,none,NA,none,153
old method,10um,0.1,F1S,sand,O_N_37_2,37,NA,2,14.5464982784351,19.31063404,old-0.1-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.1,F1S,sand,O_N_37_3A,37,NA,3A,5.71126851573304,11.61732257,old-0.1-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.1,F1S,sand,O_N_37_4A,37,NA,4A,21.7881284421195,31.13876267,old-0.1-10,Searsia lucida,0.7,searsia lucida,171
old method,10um,0.1,F1S,sand,O_N_37_8A,37,NA,8A,16.5288666399492,22.08174907,old-0.1-10,Searsia lucida,0.7,searsia lucida,171
